ID,text,pos,neg,PRP$,VBG,VBD,``,VBN,POS,'',VBP,WDT,JJ,WP,VBZ,DT,#,RP,$,NN,),(,FW,",",.,TO,PRP,RB,:,NNS,NNP,VB,WRB,CC,PDT,RBS,RBR,CD,EX,IN,MD,NNPS,JJS,JJR,SYM,UH,label
43,"""What a fabulous gift for dad on his birthday!",0.09090909090909091,0.0,0.09090909090909091,0,0,0.09090909090909091,0,0,0,0,0,0.09090909090909091,0.09090909090909091,0,0.09090909090909091,0,0,0,0.2727272727272727,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0,0,0,0,0,0,joy
44,Its fantastic.,0.3333333333333333,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
45,"Well, great.",0.25,0.0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
46,We as a family are truly honoured.,0.0,0.0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0.125,0,0,0,0.125,0,0,0,0,0.125,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,joy
47,"Its a matter of pride for every Indian when a recognition like this comes to dad from a cinema-savvy country like France.""",0.125,0.0,0.041666666666666664,0,0,0,0,0,0.041666666666666664,0,0,0.08333333333333333,0,0.041666666666666664,0.20833333333333334,0,0,0,0.16666666666666666,0,0,0,0,0.041666666666666664,0.041666666666666664,0,0,0,0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0,0,0,0,0,0,0.20833333333333334,0,0,0,0,0,0,joy
48,"""I think its a wonderful idea to remake Sholay.",0.09090909090909091,0.0,0.09090909090909091,0,0,0.09090909090909091,0,0,0,0.09090909090909091,0,0.09090909090909091,0,0,0.09090909090909091,0,0,0,0.09090909090909091,0,0,0,0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0,0,0,0.09090909090909091,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
49,"All I can say is, knowing Ramus abilities from close quarters Im pretty sure even Ramesh uncle will be very proud of the film Ramu makes.""",0.06896551724137931,0.0,0,0.034482758620689655,0,0,0,0,0.034482758620689655,0,0,0.10344827586206896,0,0.06896551724137931,0.06896551724137931,0,0,0,0.06896551724137931,0,0,0,0.034482758620689655,0.034482758620689655,0,0.034482758620689655,0.10344827586206896,0,0.06896551724137931,0.13793103448275862,0.06896551724137931,0,0,0,0,0,0,0,0.06896551724137931,0.06896551724137931,0,0,0,0,0,joy
50,The show is coming together awesome.,0.14285714285714285,0.0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0.14285714285714285,0.14285714285714285,0,0,0,0.2857142857142857,0,0,0,0,0.14285714285714285,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
51,"But the rest of it came across as a really angry, drunken rant.",0.0,0.2,0,0,0.06666666666666667,0,0,0,0,0,0,0.13333333333333333,0,0,0.13333333333333333,0,0,0,0.13333333333333333,0,0,0,0.06666666666666667,0.06666666666666667,0,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0.06666666666666667,0,0,0,0,0,0.2,0,0,0,0,0,0,anger
52,If anyone wants to give me a call I'd be more than happy to answer it.,0.05555555555555555,0.0,0,0,0,0,0,0,0,0,0,0.05555555555555555,0,0.05555555555555555,0.05555555555555555,0,0,0,0.1111111111111111,0,0,0,0,0.05555555555555555,0.1111111111111111,0.16666666666666666,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0.1111111111111111,0.05555555555555555,0,0,0.05555555555555555,0,0,joy
53,lol.,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
54,My howland friend Alyssa came with me and we danced the night away.Most of my friends went which was awsome.,0.047619047619047616,0.0,0.09523809523809523,0,0.19047619047619047,0,0,0,0,0,0.047619047619047616,0,0,0,0.047619047619047616,0,0,0,0.23809523809523808,0,0,0,0,0.047619047619047616,0,0.09523809523809523,0,0,0.047619047619047616,0.047619047619047616,0,0,0.047619047619047616,0,0,0,0,0,0.09523809523809523,0,0,0,0,0,0,joy
55,there was only a few of us single people there but it was cool.,0.06666666666666667,0.0,0,0,0.13333333333333333,0,0,0,0,0,0,0.2,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0.06666666666666667,0,0.13333333333333333,0.13333333333333333,0,0.06666666666666667,0,0,0,0.06666666666666667,0,0,0,0,0.06666666666666667,0.06666666666666667,0,0,0,0,0,0,joy
56,which is one of the slow songs i got to dance with one of my friends Nick who graduated Mathews last year.Hes awsome we danced alot together!Luvs!,0.03333333333333333,0.03333333333333333,0.03333333333333333,0,0.1,0,0,0,0,0,0.03333333333333333,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,0,0.03333333333333333,0,0.06666666666666667,0,0,0,0,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0,0.06666666666666667,0.06666666666666667,0.03333333333333333,0,0,0,0,0,0.06666666666666667,0,0.13333333333333333,0,0,0,0,0,0,joy
57,the dance was awsome.The music was really cool.,0.1111111111111111,0.0,0,0,0.2222222222222222,0,0,0,0,0,0,0.2222222222222222,0,0,0.1111111111111111,0,0,0,0.2222222222222222,0,0,0,0,0.1111111111111111,0,0,0.1111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
58,too much rap and not enough rock for my taste but it was all good I was just happy getting out on the dance floor and getting my groove on.lol.,0.0967741935483871,0.0,0.06451612903225806,0.06451612903225806,0.06451612903225806,0,0,0,0,0,0,0.12903225806451613,0,0,0.06451612903225806,0,0.03225806451612903,0,0.22580645161290322,0,0,0,0,0.03225806451612903,0,0.06451612903225806,0.0967741935483871,0,0,0,0,0,0.0967741935483871,0,0,0,0,0,0.06451612903225806,0,0,0,0,0,0,joy
59,I also got to see some howland people i once knew (Drew was one) That was pretty cool!,0.09523809523809523,0.0,0,0,0.14285714285714285,0,0.047619047619047616,0,0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0,0,0.047619047619047616,0,0,0,0,0.047619047619047616,0.047619047619047616,0,0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.14285714285714285,0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0,0,0,0,0,0.09523809523809523,0,0,0,0,0,0,0,0,joy
60,haha We did the Cha Cha slide and we were all so close together.,0.0,0.0,0,0,0.13333333333333333,0,0,0,0,0,0,0.06666666666666667,0,0,0.13333333333333333,0,0,0,0.2,0,0,0,0,0.06666666666666667,0,0.13333333333333333,0.06666666666666667,0,0,0.13333333333333333,0,0,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,joy
61,I just loved last night!!,0.14285714285714285,0.0,0,0,0.14285714285714285,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0.2857142857142857,0,0.14285714285714285,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
62,Ha!,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
63,"then Lyssa,me,matt,and Kayla couldn't find someplace good to eat that was open 1 in the morning so we all went in to giant eagle and bought junk food haha.",0.02702702702702703,0.02702702702702703,0,0,0.08108108108108109,0,0,0,0,0,0,0.08108108108108109,0,0,0.08108108108108109,0,0,0,0.16216216216216217,0,0,0,0.08108108108108109,0.02702702702702703,0.05405405405405406,0.05405405405405406,0.05405405405405406,0,0,0.05405405405405406,0.08108108108108109,0,0.05405405405405406,0,0,0,0.02702702702702703,0,0.08108108108108109,0.02702702702702703,0,0,0,0,0,joy
64,it was ammusing.hehehe.But yea overall I haven't had that much fun in a very long time!!,0.05263157894736842,0.0,0,0,0.10526315789473684,0,0,0,0,0.05263157894736842,0,0.21052631578947367,0,0,0.05263157894736842,0,0,0,0.10526315789473684,0,0,0,0,0.10526315789473684,0,0.10526315789473684,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,0.15789473684210525,0,0,0,0,0,0,joy
65,im done telling you about my wonderful night lol.,0.1,0.0,0.1,0.1,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.3,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,joy
66,I can't believe she is FINALLY here!!!,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0.2727272727272727,0,0.18181818181818182,0.18181818181818182,0,0,0.09090909090909091,0.09090909090909091,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0,0,0,surprise
67,":) Levi is really exciting to be a big brother, he thinks she is sooooo cool.",0.10526315789473684,0.0,0,0,0,0,0,0,0,0,0,0.15789473684210525,0,0.15789473684210525,0.05263157894736842,0,0,0,0.10526315789473684,0.05263157894736842,0,0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.05263157894736842,0,0.05263157894736842,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
68,My life on the weekdays is tae kwon do its what i was born to do i love i there i love to teach people who want to be taught.,0.06451612903225806,0.0,0.06451612903225806,0,0.03225806451612903,0,0.06451612903225806,0,0,0.0967741935483871,0,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0,0,0,0.0967741935483871,0,0,0,0,0.03225806451612903,0.0967741935483871,0,0.06451612903225806,0,0.0967741935483871,0,0.16129032258064516,0,0,0,0,0,0,0,0.03225806451612903,0,0,0,0,0,0,joy
69,Everyone there is amazing its like my second home.,0.2,0.0,0.2,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,joy
70,luckily we won that one.,0.16666666666666666,0.0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666,0,0,0,0,0,0,joy
71,it was pertty goood.,0.2,0.0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
72,overall it was a pretty good tournament.,0.25,0.0,0,0,0.125,0,0,0,0,0,0,0.25,0,0,0.125,0,0,0,0.125,0,0,0,0,0.125,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
73,i'm always happy with those.,0.14285714285714285,0.0,0,0,0,0,0,0,0,0.14285714285714285,0,0.14285714285714285,0,0,0.14285714285714285,0,0,0,0.14285714285714285,0,0,0,0,0.14285714285714285,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0,0,0,0,0,joy
74,had a good chill time with team at dever's house.,0.08333333333333333,0.08333333333333333,0,0,0.08333333333333333,0,0,0.08333333333333333,0,0,0,0.08333333333333333,0,0,0.08333333333333333,0,0,0,0.4166666666666667,0,0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0,0,joy
75,hehe,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,joy
76,however i do miss volleyball.,0.0,0.16666666666666666,0,0,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666,0,0,0,0,0,0,0.16666666666666666,0,0,0,0,0.16666666666666666,0,0,0.16666666666666666,0,0,0,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sadness
77,"I woke up once during the dream and was like, ""oh crap, no, go back"" and managed to get back to it somehow.",0.034482758620689655,0.034482758620689655,0,0,0.10344827586206896,0.034482758620689655,0,0,0.034482758620689655,0,0,0,0,0,0.06896551724137931,0,0.034482758620689655,0,0.06896551724137931,0,0,0,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.13793103448275862,0,0,0,0.06896551724137931,0,0.06896551724137931,0,0,0,0,0,0.06896551724137931,0,0,0,0,0,0.034482758620689655,anger
