ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
98,This awesome program,other,na,positive,na,na,joy
99,"I've been talking to Laura on the phone almost daily, and we're both very excited to see that little baby growing inside of her!",self,present,positive,neut,positive,joy
100,That would be so awesome!,other,na,positive,na,na,joy
101,Snow in October!,other,na,neut,na,na,surprise
102,I haven't even seen snow in years and to have it in October it too much to wrap around my little head!,self,present,neut,neut,neut,surprise
103,"I'm missing everyone in Wisconsin with the Blue Stars, and sad that I had to leave early.",self,present,negative,neut,negative,sadness
104,Miss you guys!,other,na,neut,na,neut,sadness
105,And sadly.,other,na,negative,na,na,sadness
106,"It was too much weight for me to carry, my own plus everyone elses.",other,na,neut,na,neut,sadness
107,I get a jolt of something REAL loud and it makes me jump.,self,present,negative,negative,negative,surprise
108,She is afraid to.,other,na,negative,na,na,fear
109,I hope that he can learn to play well and I really do hope he is enjoying himself.,self,present,positive,neut,positive,joy
110,No matter the pain is may cause the rest of the family.,other,present,negative,neut,neut,sadness
111,As long as he is happy.,other,na,positive,na,na,joy
112,Vegas was a lot of fun.,other,na,positive,na,na,joy
113,The reception was a friggen blast!,other,na,neut,na,na,joy
114,"Champagne, music, and me trying to catch those damn flowers.",other,present,negative,negative,na,joy
115,"(didn't catch em by the by) Imagine this: My bro taking his neck tie off of marie's thigh with his teeth while ""girls just wanna have fun"" blasts in the background!",other,present,positive,neut,positive,joy
116,add some jack and cokes and a wendy's drive through and it's a REAL party!!,other,na,neut,na,na,joy
117,"As Sean put it, it's not like Vietnam where 4 of 5 americans will die, so that really put it into perspective for me. I know he'll be safe and come home in one piece, but the scary thought still kinda lingers in the background of my mind.",self,present,positive,neut,neut,fear
118,"Everybody hates everybody, everybody lies, talks shit behind backs, and treats people like shit.",other,present,negative,neut,neut,disgust
119,"My mother truly wants to murder my father, and then gets pissed off when i don't agree with her.",self,present,negative,neut,negative,anger
120,UGH!,other,na,neut,na,na,disgust
121,"ya, i'd say that's some fucked up shit.",self,na,negative,na,negative,disgust
122,=) It was the perfect end to a crappy day.,other,na,positive,na,na,disgust
123,"Basically, I just want to focus on staying busy and staying happy.",self,na,positive,na,positive,joy
124,"So, if you would like to contribute to the ""make me smile"" foundation"", let's party!",other,na,positive,na,positive,joy
125,that was sooo fun.,other,na,positive,na,na,joy
126,lol.,other,na,neut,na,na,joy
127,hehehehhe ;) neeeways.,other,na,neut,na,neut,joy
128,WE WERE TOTALLY AWESOME!!!!,other,na,neut,na,na,joy
129,lol.,other,na,neut,na,na,joy
130,We won by several of points.,self,na,positive,na,positive,joy
131,yay!!!!,other,na,positive,na,na,joy
132,lol.,other,na,neut,na,na,joy
133,after the game we went to the dance where I had the best night of my life!!!,self,past,positive,positive,positive,joy
134,was so awesome.,other,na,positive,na,na,joy
135,I cant even explain in words how much fun I had.,self,past,positive,positive,positive,joy
136,;) hehehehe.,other,na,neut,na,neut,joy
137,I can honestly say that was the best Homecomg ever!!!!,self,na,positive,na,positive,joy
138,Its soooo sad b/c it was my last one.,other,na,negative,na,neut,sadness
139,:( at least I had a blast!!!!,self,past,neut,neut,neut,joy
140,lol.,other,na,neut,na,na,joy
141,I dont know what else to say except that I love spending time w/ Joe.,self,present,positive,neut,positive,joy
142,:) *sighs* lol.,other,present,neut,neut,neut,joy
143,And hanging out w/ Celeste and Matt was totally awesome 2!!!,other,present,positive,positive,na,joy
144,Love u all!!,other,na,neut,na,na,joy
145,"Exciting, no?",other,na,neut,na,na,joy
146,"We had a great time catching up, and went out that night together as well.",self,past,positive,positive,positive,joy
147,"But it's certainly strange how you randomly run in to people you haven't seen in years, in little hole-in-the-walls in Europe.",other,na,negative,na,negative,surprise
148,Fun times.,other,present,neut,neut,na,joy
149,And this particular piece was by far the best play I have EVER seen.,self,na,positive,na,neut,joy
150,"It was also incredibly simple, cutting the normally huge cast down to only seven performers.",other,present,positive,neut,na,surprise
151,"I was lucky enough to be able to stay with some friends to cut down on the cost, and see a different side of London life.",self,present,positive,neut,na,joy
152,It was sooooo much fun!,other,na,positive,na,na,joy
153,The show was trash.,other,na,negative,na,na,disgust
154,Horrible.,other,na,neut,na,na,disgust
155,"Horribly acted, horribly directed, weak script.",other,past,negative,negative,negative,disgust
156,And interminably long!,other,na,neut,na,na,disgust
157,Three hours of horror.,other,na,neut,na,na,disgust
158,"I wanted to leave at intermission, but my date was really enjoying it (should have been a sign) so we stayed.",self,present,positive,neut,positive,joy
159,I guess the one good thing I took from it was that I know now that the British are just as capable as we are of producing really awful work.,self,present,positive,positive,positive,disgust
160,Now this was amazing.,other,na,positive,na,na,surprise
161,"The performers were incredible, and one of the generals was played by Geoffrey, the butler from Fresh Prince of Bellaire.",other,na,positive,na,na,surprise
162,"That in itself was hilarious, and made us love the show even more.",other,na,positive,na,positive,joy
163,"I also saw Les Miserables for the first time, and it was fun.",self,past,positive,neut,neut,joy
164,Loved London.,other,na,neut,na,na,joy
165,Loved the free museums.,other,present,positive,positive,na,joy
166,"And the funniest part, the two statues said they were donated by New Zealand.",other,na,negative,na,neut,joy
167,Curious.,other,na,neut,na,na,surprise
168,"The hordes of people would change from day to day, for instance there was a three day period where we had over 90,000 Swedes in the city, leading up to their dramatic defeat at the hands of Zeh Germans.",self,past,positive,neut,neut,surprise
169,"Then there were the Brazilians, everywhere, singing-clapping-dancing-taking pictures, and of course the pale and pasty Brits with their cock-eyed stares and drinking songs.",other,na,negative,na,neut,joy
170,Loads of fun.,other,na,positive,na,na,joy
171,"So to a French cafe for the France-Swiss game, a Tapas bar when Spain played, drank Caiprinhas with the passionate Brazilians, etc. It was a colorful and hilarious way to take part without fighting the crowds.",other,present,positive,neut,neut,joy
172,Another interesting element was the latent patriotism that emerged during the Cup.,other,na,positive,na,neut,surprise
173,"And for what it's worth I agree with them, it makes me nervous too.",self,present,positive,neut,neut,fear
174,"People were genuinely excited about supporting their national team, and taking pride in its accomplishments.",other,present,positive,neut,na,joy
175,Now this newfound enthusiasm certainly was not shared by everyone.,other,na,positive,na,na,joy
176,"After a July of beautiful weather and great summer adventures, I traveled with my good Australian friend Kurt to a theater festival in Cyprus.",self,na,positive,na,positive,joy
177,Now this was ridiculous amounts of fun!,other,na,positive,na,na,joy
178,"The city is a sweaty, dirty, polluted hole.",other,na,negative,na,na,disgust
179,Now imagine the condensation from thousands of swamp box coolers pitter pattering on your head as you stroll down the trashy Athens streets.,other,present,negative,neut,negative,disgust
180,"And the city itself really is lovely, in it's own way.",other,na,positive,na,na,joy
181,Now this was really amazing.,other,na,positive,na,na,surprise
182,"And then we watched in amazement with fifty other tourists as the sun went down in front of the temple, over the Mediterranean.",self,na,positive,na,positive,surprise
183,"The sky is so amazing in Greece, it feels like you could really reach up and touch it, it's so close!",other,present,positive,neut,positive,surprise
184,Cyprus was amazing.,other,na,positive,na,na,surprise
185,"We saw Jessica's production of Medea, and were treated incredibly well by her colleagues at the festival.",self,past,positive,neut,neut,surprise
186,"We stayed in a tiny mountain village called Droushia, and these people brought hospitality to incredible new heights.",self,past,positive,neut,neut,surprise
187,"They did everything they could to make us feel welcome, everything from putting us up in a beautiful hotel, refusing to let us pay for anything, and making sure that our stay on their island was as enchanting as the stories always make it out to be.",other,present,positive,neut,positive,joy
188,"Imagine the most incredible, horseshoe shaped cove, with unimaginably blue water, and a giant stone underneath the water, hundreds of meters long and wide, adding depth to the color.",other,present,positive,neut,na,surprise
189,"It was really interesting staying with them in this little mountain village, and getting to experience a bit of what their culture was all about.",other,present,positive,neut,neut,joy
190,Oh and the food is incredible.,other,na,positive,na,na,surprise
191,"Its really a testament to the vision of the ancients that in our world of skyscrapers and technical gadgetry, we are still fascinated by a two thousand year-old arrangement of stones.",other,na,positive,na,positive,joy
192,"So I spent the next six days in a haze of working my final tours, partying, and showing Lance the city that I had come to love so much over the last two years.",self,present,positive,positive,positive,joy
193,We had a ball in Zurich.,self,past,neut,neut,neut,joy
194,"We went on a walking tour, went to the City Museum (located in an old castle, very cool), and had a good time relaxing and enjoying the AMAZING views.",self,present,positive,positive,positive,joy
195,"The city is incredibly beautiful, tucked into the Alps and right on the water.",other,na,positive,na,na,surprise
196,"I think the most important thing I can say about this city, is that all of the rumors: That the city's dirty, the people are rude, the language barrier is insurmountable, the metro is incomprehensible, you things will be stolen, that they hate Americans.",self,present,negative,neut,negative,disgust
197,"The Eiffel Tower is breathtaking, and seeing it in person destroys its cliche and makes you fall in love with the thing.",other,present,negative,neut,positive,joy
198,The people are absolutely LOVELY.,other,na,neut,na,na,joy
199,"We encountered so many genuinely wonderful, helpful, content people.",self,past,positive,positive,positive,joy
200,"Everything from trying to order a baguette in the morning (my Francais is tres terrible) to asking directions or talking to cabbies, we were always pleasantly surprised at how open and welcoming they were.",self,present,positive,neut,neut,surprise
201,And they all seem to really enjoy their city.,other,present,positive,neut,positive,joy
202,"They know how beautiful it is, and they appreciate it.",other,present,positive,neut,positive,joy
203,"And man, it is gorgeous.",other,na,positive,na,na,joy
204,There was a fabulous sense of community there.,other,na,positive,na,neut,joy
205,My favorite part about the city parks were the 'nap chairs'.,other,na,positive,na,na,joy
206,"I thought: ""that's strange, what's that about?""",self,present,negative,neut,negative,surprise
207,Vive la France!,other,na,neut,na,na,joy
208,We really had a ball in Paris.,self,past,neut,neut,neut,joy
209,"We went to Versailles, we went to Notre Dame, and on a fabulous bike tour.",self,na,positive,na,positive,joy
210,"The most interesting thing we learned on the bike tour was that when the revolutionaries stormed the Bastille, there were only 7 prisoners left in it.",self,past,positive,neut,positive,surprise
211,It's a pretty breathtaking sight.,other,na,positive,na,na,joy
212,On the steps there was always sort of an impromptu party with musicians and performers and other city-watchers gathering with a bottle of wine and a merry spirit.,other,na,positive,na,neut,joy
213,Those evenings on the steps are some of my favorite memories from Paris.,other,na,positive,na,na,joy
214,What an incredible end to an incredible journey.,other,na,positive,na,na,surprise
215,"I was also lucky enough to be hired to direct a show for Frenship high school, which went up last Sunday.",self,present,positive,neut,neut,joy
216,"It was a Commedia dell'Arte piece titled The Red Hat, and went extremely well.",other,past,positive,neut,neut,joy
217,It was a nice way for me to get to stretch those theater muscles and earn a little something at the same time.,other,present,positive,neut,na,joy
218,"I'm excited about the move, and the opportunities and challenges that await me there.",self,na,positive,na,neut,joy
219,"I hope all of you are well; that you have made it through the summer, and are excited about the upcoming (rapidly approaching) holiday season!",self,past,positive,neut,positive,joy
220,"I wish you all a fabulous week, and a warm and safe start to the wintry season.",self,present,positive,positive,positive,joy
221,"But math just sucks, and I've accepted that.",self,past,negative,neut,negative,disgust
222,"Some of my teachers seem quite amazing, and others I know for a fact to be amazing.",self,na,positive,na,positive,surprise
223,"So, all-in-all, pretty good, right?",other,na,positive,na,na,joy
224,"I also found out that Junior year, will, in fact, be a bitch.",self,past,negative,neut,neut,disgust
225,"You can handle high school drama."") Also, I have so many friends, and all of them are true, caring, trustworthy friends who love me and are supporting me 100%.",self,present,positive,neut,positive,joy
226,I can come through this year triumphantly and with grace.,self,na,positive,na,positive,joy
227,This is my year to be happy.,other,na,positive,na,na,joy
228,This is my year to try new things and to succeed!,other,present,positive,neut,na,joy
229,This is my first year of loving myself.,other,present,positive,neut,na,joy
230,"I also found out that Junior year, will, in fact, be a bitch.",self,past,negative,neut,neut,disgust
231,"You can handle high school drama."") Also, I have so many friends, and all of them are true, caring, trustworthy friends who love me and are supporting me 100%.",self,present,positive,neut,positive,joy
232,I can come through this year triumphantly and with grace.,self,na,positive,na,positive,joy
233,This is my year to be happy.,other,na,positive,na,na,joy
234,This is my year to try new things and to succeed!,other,present,positive,neut,na,joy
235,This is my first year of loving myself.,other,present,positive,neut,na,joy
236,"I look forward to learning and discovering even more of who I am, and loving every inch of it.",self,present,positive,neut,neut,joy
237,I cannot believe the nerve of this man. God.,self,na,neut,na,neut,surprise
238,kill something.,other,present,negative,neut,na,anger
239,"What's even worse, it's copied so poorly that the last half inch of text on the far right side of the page is cut off, so as I try to read in preparation for the lab tomorrow I'm trying to coherently complete sentences and make sense of it all, which is often impossible because so much is left out.",self,present,negative,neut,neut,anger
240,"Again, makes me so angry.",other,na,negative,na,na,anger
241,Poopy poopy poopy.,other,na,neut,na,na,anger
242,*cries* Such is life I spose.,self,na,neut,na,neut,sadness
243,"I am in such a bad mood and I'm playing the blame game in my head, getting angry at people for things that are really quite trivial.",self,present,negative,negative,negative,anger
244,I forgot how demeaning BME classes are.,self,na,negative,na,negative,anger
245,He was asking all these questions that I was completely baffled by and people were just spouting answers.,other,present,negative,neut,neut,surprise
246,"Sometimes I wonder how in the world I made it in, and every day I wonder how I'm going to make it through.",self,present,positive,neut,positive,surprise
247,I don't feel like I ever have that kind of privacy where I can talk to God and cry and figure things out.,self,present,positive,negative,positive,sadness
248,"I always tear up in church too, for different reasons.",self,na,neut,na,neut,sadness
249,I love the way God brings people together.,self,present,positive,neut,positive,joy
250,"Girls, I highly reccomend In Her Shoes, especially if you have a sister I'm enjoying it immensely and it has effectively distracted from my schoolwork almost all day.",self,present,positive,neut,positive,joy
251,"These small indicators remind me that, in the Silvia Plath sense of the concept, I'm dying.",self,present,negative,neut,neut,sadness
252,"Someday I will be no more than slime coating the expensive, cushiony, velvety inside of a coffin.",self,na,negative,na,na,sadness
253,"The rickety deck I'm sitting on could fall, I could catch a stray bullet to the noggin on my way to my car in the parking lot, I could be nailed by a drunk, inattentive, careless, or simply unfortunate driver on the way home.",self,present,negative,neut,negative,fear
254,"or do I simply want to live an average American life and be remembered under a large stone in a well kept cemetery, forgotten after my immediate reletaves, children, and grand children.",self,present,positive,neut,neut,sadness
255,There would be a constant trepedation that there is no gold at the end of that rainbow.,other,na,positive,na,neut,fear
256,No wonder past writers were able to produce their amazing feats of feeling and thought.,other,present,positive,positive,na,surprise
257,"My thoughts at the moment are somewhat melancholy, but can be completely forgotten at the push of a button mounted to an  Xbox, Dvd player, or VCR.",other,na,negative,na,na,sadness
258,I am now the proud father of Daisy Alexandria Davolls.,self,na,positive,na,na,joy
259,"I now have a sweet little thing, that totally depends on her mum and me to do whats best.",self,present,positive,positive,positive,joy
260,"I had a long hard look at my life over the last 14 days, and to be honest I wept.",self,past,negative,negative,negative,sadness
261,I wept for all the mistakes I made where I put my feelings before the feelings of others.,self,past,negative,neut,negative,sadness
262,"I wept for all the times I said ""f*ck you"" instead of ""thank you"".",self,present,positive,neut,negative,sadness
263,"I still have a couple of vices, strong coffee and noodles, but have quit smoking, havent drunk for a couple of weeks and am feeling better about life.",self,present,positive,neut,positive,joy
264,"My job is going really well, and I am getting a kick out of both going to work and coming home.",self,present,positive,neut,positive,joy
265,"The pessimist in me awaits the phone call from the police or hospital or nuclear plant etc telling me the worst, crushing my hopes of a better tomorrow.",other,present,negative,neut,positive,fear
266,The brain is an amazing tool and can be sculpted for any purpose.,other,na,positive,na,na,surprise
267,Do they know how lucky they are - to find contentment without looking.,other,present,positive,positive,positive,joy
268,more often you find things to bring you down or worry about.,other,present,negative,neut,neut,sadness
269,A single lightning bolt from the sky can make a lifetime of panic and worry all worthless.,other,present,negative,negative,negative,fear
270,I am not saying I am anything other then happy - but I strive for a balance.,self,na,positive,na,positive,joy
271,Happiness comes from within - your brain is a self regulating chemical factory.,other,present,neut,neut,neut,joy
272,"""Happiness lies within"" - the only way to be truly happy is to create it yourself and not rely on other people or things.",other,na,positive,na,positive,joy
273,the Happiness they bring is only temporary.,other,na,neut,na,neut,joy
274,Yet often that temporary happiness is more intense then a balanced contentment.,other,na,positive,na,na,joy
275,It is however usually accompanied by and equal sadness - it is life's way of balancing itself out in the endless pendulum swing of life.,other,present,negative,neut,na,sadness
276,First she is all mad because I haven't called her back in a week.,self,past,negative,neut,neut,anger
277,Second of all she is laughing hysterically because she had to put her dog on doggie drugs because the dog learned how to open the window to get out and seems to be jewish because she likes the temple down the road.,other,present,positive,neut,negative,joy
278,She started questioning my credentials because she drives a school bus for a living and knows what a safe vehicle is. Bitch.,other,present,positive,neut,neut,anger
279,Bitch.,other,na,neut,na,na,anger
280,Bitch.,other,na,neut,na,na,anger
281,"As far as i can tell, it was a success.",self,na,positive,na,neut,joy
282,They all complimented on it.,other,na,positive,na,positive,joy
283,"Killin me he is. He's a great guy and I want to marry him for his kitchen, he liked that one, hahaha.",self,present,positive,neut,neut,joy
284,He's a great guy and I think the world of him.,self,present,positive,neut,neut,joy
285,"For instance, if I feel sad because I have not seen my family in a long time my need for connection has not been met.",self,past,negative,neut,negative,sadness
286,"On the otherhand, if I feel happy because I have spent time with my family then my need for connection has been met.",self,past,positive,neut,positive,joy
287,"How many times have we felt angry and as a result insulted, judged, criticized, blamed or physically hurt someone?",self,past,negative,neut,negative,anger
288,We live in a society that has encourages us to stuff our emotions and a society that is by the most part feelings illiterate.,self,present,positive,neut,positive,sadness
289,By stating our feelings and needs to others we avoid blaming and criticizing them.,self,present,negative,neut,negative,anger
290,When others are angry or upset with us we can also use this technique on them.,self,present,negative,neut,neut,anger
291,"For instance, if we feel furious it may be better to take a one hour timeout and calm down.",self,present,positive,neut,negative,anger
292,Many times in the past we have reacted like a lion when we feel angry or frustrated with others or ourselves.,self,na,negative,na,negative,anger
293,"- Had one hell of a good vanila milkshake at Hard Rock Cafe, lets just say it was a 'satisfying' moment.",other,past,positive,positive,na,joy
294,"- Rome was fun with my best friend hanz, we managed to run out of money by the end and had mcDs for dinner at Florence",self,past,positive,neut,neut,joy
295,"- Yoga at Ibiza was AWESOME, didn't want to leave!",other,na,neut,na,na,joy
296,"It was sun, beach, tan, great veg.",other,na,positive,na,na,joy
297,"meals, beautiful sunset, and I manage to pull off the yoga glow by the end of it.",other,present,positive,positive,positive,joy
298,"- Felt sick eating crappy canteen food, but now back into the bad diet of coffee, shift work, and eating Shwaba on edgware rd.",other,present,negative,neut,na,disgust
299,"- Sis was coming for a visit in Nov, mom and dad decided to come along, so now abit stress booking hotels and restaurants, will be depressed when they all leave",other,na,negative,na,negative,sadness
300,- going on training next week can't wait to get pissed with all the graduates,other,na,neut,na,neut,disgust
301,"Sorry for the rather crappy update, will try to do a proper one later.",other,present,positive,positive,na,disgust
302,YAY!!!,other,na,neut,na,na,joy
303,don't know what the point in that title is for but neh >> I've been sick today and on the verge of tears._.; I don't know why.,self,present,negative,neut,neut,sadness
304,"I talked to Misha earlier on MSN for the first time since I added her and yeah, it was fun I guess.",self,past,positive,neut,neut,joy
305,"I don't know why, I'm just drained of energy and want to cry constantly and for somereason I don't know why.",self,na,negative,na,negative,sadness
306,"I don't know what happened to my happiness, I woke up feeling down and miserable and infact it's worse.",self,na,negative,na,positive,sadness
307,I'm losing enjoyment out of things I love to do and thats never a good sign.,self,present,positive,positive,positive,sadness
308,"The conversation was funny, I mentioned that if the word got out about our plans we'd have to escape the earth to avoid the police, HOLY/HOLD, the military and etc and yeah XD J.C. suggested she could try and make a ship but then I suggested we could sneak into NASA and steal a rocket.",self,present,negative,neut,negative,joy
309,it was hilarious.,other,na,positive,na,na,joy
310,"I'm chatting with someone on Gaia, they seem to have a lot in common with me n.n it's fun.",self,present,positive,neut,neut,joy
311,"I can live with that, I wish I had something to do though._.; I feel lonely.",self,past,negative,neut,neut,sadness
312,I dunno what else to say though except it's shocking that I'm updating early.,self,na,negative,na,negative,surprise
313,"Other than that I also got a extension from my affiliate to get the fanlisiting I adopted up since the server move and etc. Meh, I miss Cassy.",self,present,negative,neut,neut,sadness
314,It most certainly raised even more anti-Muslim sentiment but also more anti-French sentiment even amongst it own non-Christian communities.,other,past,neut,neut,neut,anger
315,"The Germans have passed similar laws, much to the dismay of its large Turkish-Muslim population.",other,past,negative,neut,neut,sadness
316,"The well integrated, but edgy Muslim community is not so happy about this.",other,na,positive,na,na,anger
317,And I'm afraid it could get ugly.,self,na,negative,na,negative,fear
318,The Muslims too have yet to seriously address the fears and concerns of 'indigenous' white westerners - who have opened their doors from some of the worlds worst economically and socially oppressed societies.,other,present,negative,negative,negative,fear
