ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
42,"Decemeber 17th!!!!!!! COME ON, good night, cant wait",other,na,positive,na,na,surprise
43,I only have two class periods left with my favorite teacher.,self,past,positive,neut,neut,sadness
44,Stupid fucking woman on the bus talks to the bus driver every week for ages I wanna get home u stupid dirty old fuck,self,present,negative,negative,neut,anger
45,been awake since 4:30am. too tired for black friday fun.,other,na,positive,na,na,sadness
46,@chrisRWK when u get a chance u should leave that piece out for 10 min then turn the lights out,other,present,neut,neut,neut,surprise
47,@amberschwen15 I would feel obligated if you knew when it happened. It's all about the element of,self,past,neut,neut,neut,surprise
48,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me.",self,present,negative,neut,neut,fear
49,"@kaboom23 Thanks, but I think a puck to the eye means he probably will stay clear of the Garden.",self,present,positive,positive,neut,sadness
50,Father forgive me for my and help me live boldly in Your truth GloryOfTheCross,self,present,neut,neut,neut,fear
51,I can't believe I'm saying this but Room 112 by 112 is a big ass simp album.,self,present,neut,neut,na,sadness
52,Waiting for the start of from @OfficialPWG. The return of SuperDragon will be a great night!,other,present,positive,neut,na,fear
53,"They're playing Manchester Orchestra in between acts...Hey Allston Pudding, I really would have liked to go to that concert.",self,present,positive,neut,neut,anger
54,SOMETiMES I JUST SiT BACK AND OBSERVE THiNGS,self,present,neut,neut,neut,surprise
55,Guess I better start my psychology paper that's due Monday.,self,present,positive,neut,positive,joy
56,literally haven't seen the sun in a week and it's finally coming out!,other,past,neut,neut,neut,joy
57,"Since this is the season to give I'm giving God my problems 4 solutions, sickness 4 healing, insecurity 4 a touch  of HIS garment!",self,present,negative,negative,na,joy
58,Now for the painful walk downstairs,other,na,negative,na,na,joy
59,FANTASTIC. My amazing memory saves the day again! Now I can sleep in tomorrow,self,present,positive,neut,neut,joy
60,Naubusan kami ng slot sa 5k ng MILO MARATHON :|,other,na,neut,na,na,sadness
61,People are more likely to die in hospital at the weekend?,other,present,negative,neut,negative,fear
62,"Can honestly say, don't think I've ever done so shit in an exam before",self,present,negative,negative,neut,joy
63,Barca 5saraaaw @@ 5saaraawwww ya shamaataatiii fehoom Madrid today fayzen w barca finally fell XD,other,past,negative,neut,negative,joy
64,@orangejbt haha nah. For the most part im done skating for the season unless we get some really nice days. It's just to cold.,self,past,positive,neut,positive,sadness
65,"If nobody makes plans by tomorrow morning, I'm gonna finally watch all those SVU episodes crowding my DVR.",self,present,neut,neut,neut,sadness
66,The world didnt give it and the world cant take it away,other,present,neut,neut,neut,joy
67,time to start this research paper,other,present,neut,neut,neut,joy
68,History wasn't so bad! Now the last exam on tuesday! And that would be N.S!,other,na,negative,na,na,joy
69,Ready to knock some1 out before 9.05am today,other,present,negative,neut,negative,joy
70,@therealfrankieJ Celebrating your Birthday &amp; droppin a new album? Livin life wmad style ;) Happy Birthday!! Xoxo  Success,other,present,neut,neut,na,joy
71,I have learned to be content in any situation &amp; I thank God for peace that surpasses ALL understanding,self,present,positive,neut,na,joy
72,Just had possibly the most awkward conversation in my life.,other,na,negative,na,na,joy
73,staging environment. private server. logged in to back-end CMS. opening the front-end in new window... too many connections... WTF?,other,present,neut,neut,neut,sadness
74,"Soooooo... yeah, I think I'm gonna start posting my newest fan fiction. I was gonna wait till I was finish, but I'm excited. :D",self,present,positive,negative,neut,joy
75,Gotta take a customer out for dinner tonight. not,other,present,neut,neut,neut,joy
76,"&quot;In your do not sin: do not let the sun go down while you are still angry, and DO NOT GIVE THE DEVIL A FOOTHOLD.&quot; Ephesians 4:26",other,present,negative,neut,neut,anger
77,"sleepy time. cant wait to work with @tbisek tomorrow, considering her days are numbered dontwannathinkaboutit",other,present,positive,neut,neut,sadness
78,@BrightonEd I'm also putting off getting an eye test as I know ill need glasses!,self,present,neut,neut,neut,fear
79,"“@krustykins: Jon bought me a luffly Radley purse yesterday @Radley_London”  very nice, lucky you!! x",other,past,positive,neut,positive,joy
80,''What is profound might become absolutely meaningless'',other,present,positive,positive,neut,fear
81,back on the internet no such thing as writing essays.,other,present,neut,neut,na,surprise
82,I want cake. I bet we don't have any.,self,present,neut,neut,na,sadness
83,"Je viens de voir le film Les Schtroumpfs avec mes enfants. Et j'ai beaucoup ri. Par contre, bien sûr : téléchargercesttrèsmal",other,na,neut,na,na,surprise
84,"Remember, men need laughter sometimes more than food.",other,present,neut,neut,neut,joy
85,Great...thanksgiving. mad people in my house for no apparent reason smh -_-,other,na,negative,na,na,joy
86,"Don't believe the lies, look me in the eyes- please don't be scared of me",other,present,negative,neut,neut,fear
87,"It's so cold in here every freaking girls boobs, including my own, have become their own powerpoint presentation.",other,present,negative,neut,na,joy
88,@PostOfficeIndia I received my parcel trashed. It proves it was teared from backside and thing was removed.  cheapservice,self,past,negative,neut,na,anger
89,"Got approved for a Kay credit card for up to $500, going to buy James a watch! Shhhhhh lol",other,past,positive,neut,neut,surprise
90,"Abundance is: seeing lots and lots of family, eat lots of delicious food, see many beautiful places repeatedly over the last four days.",other,present,positive,positive,na,joy
91,Traffic jam of Bandra-Worli Sea link from Bandra to Worli.,other,na,negative,na,na,surprise
92,Went upstairs for a min and came back to find my puppy ate a huge corner of my book...,other,past,neut,neut,neut,anger
93,Little hesitant to apply deodorant ever again,other,present,negative,neut,neut,fear
94,Enjoy this Day Beautiful World and Planet Earth's wonderful people!!,other,present,positive,positive,na,joy
95,Guess what? Its Thursday and I have 2 tests today...,self,present,neut,neut,neut,joy
96,Packing to leave tomorrow,other,present,neut,neut,na,sadness
97,"Had me zo voorgenomen om Josey zelf zijn te laten maken... Waarom zit ik dan onder de behanglijm, glitters en verf?",self,past,positive,na,na,surprise
98,Is it a lack of  or a of loneliness that make people put up with bullshit,other,present,negative,neut,na,fear
99,@ChinaReport24 China has it right regarding  Don't listen to the   rhetoric &amp; mongering disguising oil &amp; gas motives,other,present,positive,neut,na,fear
100,I haven't listened to I Remember Me in full in a minute,self,past,neut,neut,neut,surprise
101,gotta get up in 6 hours to ride a plane,other,present,neut,neut,neut,joy
102,Happiness may shift with the circumstances but the Joy of the Lord gives you the Victory over the circumstances.,other,present,neut,positive,neut,joy
103,words cant even describe how i feel right nowww! mad cmonguys,self,present,positive,positive,neut,anger
104,bawling my eyes out and curled up....i have never felt this sick so far,self,past,negative,neut,neut,joy
105,Had a coffee about 2 hours ago and I'm coming up like a bastard with the and jitters now! Need 2 naggins to calm me down !!!,self,present,positive,neut,neut,fear
106,Working my first Campbell game of the year,other,present,neut,neut,na,joy
107,Your 4o dancing like your 2o big when your boob pops out scotch,other,present,positive,neut,positive,surprise
108,After all that ive been through I still have  The joy of the Lord is my strength. The devil cant steal my joy. Joy. GM TWEEPS!!!!,self,present,positive,positive,neut,joy
109,"@sophie_waldron you ok? :( is such a good hashtag, love getting evil feelings out that way!",other,present,positive,negative,neut,anger
110,Is wanting @AxelLoitz to be healthy to join me back in the paint,other,present,positive,neut,neut,sadness
111,"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! RT WIN",self,present,neut,positive,positive,surprise
112," Seein' folks,  overcome limitations, by seeing that THEY can be who they DREAM! That their capacity for is the compass!",other,present,negative,neut,na,joy
113,@CUGoldenBears COME take pictures with Comet The Bear in the Pearson Commons from 12-2 PM! :) Christmas pictures!!!,other,present,neut,neut,na,joy
114,Annoying people who rung you and then hang up once you pick up the phone,other,present,negative,neut,negative,anger
115,Lost volleyball game to meadowlark,other,na,neut,na,na,joy
116,Nothing like a 9am dentist appointment to get your day started right... whatdididotodeservethis,other,past,positive,neut,positive,joy
117,Successful day of nothingness. ;D Now back to reality.,other,na,neut,na,na,joy
118,"Looking through old Facebook photos, I noticed circa late spring 2009, aka graduation, that my eyes were bugged out.",self,past,negative,neut,neut,fear
119,Arabic coursework deadline extended by a week!,other,past,neut,neut,na,surprise
120,"Tyler Seguin (Boston), Ryan Nugent-Hopkins (Edmonton) and Jeff Skinner (Carolina) will not be made available for world juniors.",other,past,positive,neut,neut,surprise
121,watch'n the news &amp;&amp; this lady went to the ER for stomach cramps &amp;&amp; had a whole baby .. she didn kno she was preggo what a,other,past,negative,neut,na,surprise
122,"Our storms are designed to test out Faith. As a Christian we have the power to WIN in every situation. Cry but keep flying,",self,present,neut,neut,neut,joy
123,mom said someone ant work called her newborn girl LUBNA *wohoo*,other,past,positive,neut,na,joy
124,"Lol! I just did, too. RT @akagayle I forced some down anyway, lol I'll regret it later RT @im_a_KEY_pa: No room for dessert.",self,past,negative,neut,neut,sadness
125,We all are not worthy of God's forgiveness. We are saved by His loving grace. Don't harbor resentment.  fear,other,past,positive,neut,na,anger
126, at  JAKARTA &quot;MAGICAL ELECTRO&quot; W DJ's: @dhanesocces CHRISTWIST KHALID &amp; MAGICIAN MASTER DANIEL GL: DANES @InfoDUGEM,other,na,neut,na,na,joy
127,I meet Santa Claus!!!! He said he couldn't bring me @justinbieber:( me and @MeganAshleyWade we're sad.,self,present,negative,neut,negative,sadness
128,I'll miss watching Buehrle on the south side. He was my favorite White Sox player.,self,future,positive,neut,negative,sadness
129,And know I pop bottles because I bottle my emotions.. At least I put it all in the open..,self,present,neut,neut,neut,fear
130,"@corey_x3 nevermind. forget it, and im so mad i forgot the moves earlier!",self,past,negative,neut,neut,anger
131,I am fucking extremely full!!,other,na,negative,na,na,joy
132,Tweetin For My Big Brovaa Since His Fatt Ass Wanna Take Snack Breaks n Shitt.!,other,present,neut,negative,na,joy
133,"Such a pointless day at college, just ate mcdonalds now for fitness",other,past,negative,neut,neut,joy
134,Wow! RT @RymanStationery: I've got a feeling that very shortly we'll be making a special announcement for a very lucky person... !,self,past,positive,positive,neut,surprise
135,"This covo in the car is so funny about dudes fucking dudes, in the hood",other,na,negative,na,na,disgust
136,"Mum and Dad left £20 and some sweets on our bed,",other,past,positive,positive,na,surprise
137,"aww. max gaat in de kast liggen en als ik er dan langs loop, valt ie me aan attack",other,na,negative,na,na,surprise
138,At what point does Fred Hoiberg's heart doctor get concerned?,other,present,negative,neut,neut,anger
139,Back from the hospital just in time for a tutorial. Today will not be a good day boredness fedupness,other,na,positive,na,na,sadness
140,"Our pastor asked us to join in him in fasting, for 40 days, in this: eat right and exercise.",self,present,positive,positive,neut,joy
141,Hannibal for the night for @patdaddy32s birthday!!!,other,na,neut,na,na,surprise
142,It's so awesome to a woman when she gets outta the shower by eating her pussy.,other,present,positive,neut,neut,surprise
143,I have a date 2mw. I haven't been this excited to go out in months. I feel the need to look pretty &amp; get flowers @trishana28 nervous,self,present,positive,neut,neut,joy
144,@ladyXbX @joey7barton miss carmen u need to control that ask joey he does s good job : s,other,present,positive,positive,na,anger
145,mid terms begin next week.,other,present,neut,neut,neut,joy
146,@emily_nicole11 it's okay I just won't get any pain pills til tomorrow cause my mom can't leave..,self,present,negative,neut,neut,joy
147,@alllieebieber OMG JUST  ! i get the death stare tomorrow.....,self,present,negative,negative,neut,joy
148,"Love when mt boyfriend gets drunk, and then no one knows where he is",other,present,negative,neut,negative,joy
149,secretly learning a song on the piano. my parents will crap themselves when I preform for them Christmas day cheapgift,self,present,negative,neut,neut,surprise
150,Kind of in an amazing mood  ,other,na,positive,na,na,joy
151,my sissy in law been cooking all day .,other,present,neut,na,neut,joy
152,"no matter how much i love her, or tweet her @DiannaAgron will never tweet me back.",self,past,positive,neut,neut,sadness
153,"Break! 1,000 Angels are cheering for you, blessing you. You are fully supported. Feel &amp; enjoy it. LJB",other,present,positive,positive,positive,joy
154,@paulinefashion On a été a la Vp& !! Un petit cadeau t attend a Paris hihi &lt;3,other,present,neut,neut,na,surprise
155,"I release all struggle now, and I am at peace.",self,present,positive,negative,neut,joy
156,Debate paper for history,other,na,neut,na,na,joy
157,Having a lie in tomorrow! Don't have to be up till 8.,other,present,negative,negative,negative,joy
158,o my fucking god new korn album is out,other,na,negative,na,na,joy
159,Last day of art appreciation class,other,na,neut,na,na,sadness
160,"EWWW. Why is Matt Lewis saying that? “@Mattdavelewis: Very pleased with that. She's tidy. Good work, British public. XFactor”",other,present,positive,positive,na,disgust
161,My House Number Start W. 399 but hers start W. 396 &amp;&amp; She just live up the street,other,present,neut,neut,neut,joy
162,dude wants @fanzoid321 to drive to crafton for pot. now we're all even @fanzinator. josh is the one needing laid tho. help him guys,other,present,neut,neut,na,sadness
163,Never run away from your problem face them face to face cause so they will catch and never let goo... RIP Jane Kane,other,present,negative,neut,neut,fear
164,Life is looking up for the first time in awhile. I can truly do all things through Christ who strengthens me!,self,present,neut,neut,neut,joy
165,"J'ai cru que c'était qq'un qui se foutait de la gueule de @Cortex_Officiel et non, c'est le vrai. Ça existe encore des gens comme ça.",other,na,neut,na,na,fear
166,My mom bought Star Wars candy canes for me.,other,past,neut,neut,neut,joy
167,"Break! Think of your favorite place in the world. Imagine being there right now. Hear, smell, feel, &amp; see it. LJB",other,present,positive,neut,na,joy
168,Nice night of reading ahead,other,present,neut,na,neut,joy
169,So ima spend my b-day movin my shit.,other,present,negative,negative,neut,joy
170,"YAY!!!!! I love you! :) RT @VillageMarket @M_Della  Since you've whistled so loudly, come pick a Khazana Voucher for 1,000shs",self,present,positive,neut,neut,surprise
171,In the gym this morning... Xmas tree afterwards then a nice 4-12 shift at waitrose...,other,na,positive,na,na,joy
172,"Can you believe the debt committee is predicted to announce that they can't come to any sort of agreement? Shocking, I know.",self,present,negative,neut,neut,surprise
173,"She Women share on of technology. Fear of not being able to findtrust sone to help. Impact: limit potential, missed opportunities.",other,present,negative,neut,na,fear
174,on the other hand... it does mean i have one less test to worry about.,self,present,negative,neut,neut,joy
175,An enraged person only gets angrier when you say “I completely understand.”,self,present,negative,neut,neut,anger
176,Radio degraded from some good songs to absolute shit,other,past,negative,neut,na,sadness
177,"You me. I've never been more hurt by one person, never been treated like that. But I did it to myself, I'm the one to blame.",self,past,negative,neut,neut,disgust
178,Me and my mom just got to the store and realized she left her purse at home:p  :P,self,past,neut,neut,neut,joy
179,@40andDating: Expect your life to be filled with joy and it will be.   DatingDiva,other,past,positive,neut,na,joy
180,"The Lord taketh pleasure in them that fear him, in those that hope in his mercy.& 147:11 (KJV)  hope mercy",other,present,positive,neut,positive,fear
181,"suffering from a of failure? what is the worst case scenario? If it is not that bad, why are you still afraid?Hmmm, I think I am goin…",self,present,negative,neut,negative,fear
182,Love and Hip Hop on my newsfeeds,other,na,neut,na,na,joy
183,Just woke up from a coma.. Now time to take an exam.,other,past,neut,neut,neut,joy
184,Open house = sit in campus ministry,other,present,neut,neut,na,joy
185,Dick Vitale is calling the Ohio StateDuke game.,other,present,neut,neut,na,sadness
186,Is going to win best boyfriend award for 2011 when she opens her door on her birthday!,other,present,positive,neut,positive,surprise
187,"this year, for the first time in my life, I will not have a christmas tree in my home",self,future,neut,neut,neut,sadness
188,"God, got the most amazing pair of shoes ever today! My feet are going to be fucked up by the time I'm 20",other,past,positive,positive,neut,joy
189,i hate the human race...,self,present,negative,neut,na,anger
190,Walked into the last day of class to find out there is a quiz,other,past,neut,neut,neut,surprise
191,My brother just left with my movie MarkWahlberg &xA;&xA;I miss it already!,self,past,negative,neut,neut,fear
192,@terrinakamura haha np! that was my first time seeing who was talking about my box bag on twitter~,other,present,neut,neut,neut,surprise
193,"ok free people skirt, hide and seeks over",other,present,positive,na,na,anger
194,I have to manage my since people can't manage their STUPIDITY,self,present,neut,negative,neut,anger
195,I love telling people I have a degree.,self,present,positive,neut,na,surprise
196,"Man, these Indian rappers from Brampton are almost as bad as the black ones.",other,na,negative,na,na,sadness
197,Loves talking  to my mom andd aunt abouut my summer romance with an older man KindaFunny,other,present,neut,neut,neut,joy
198,   Its a big distraction from our lives. They create the illusion of so we accept their Solutions. $$,self,present,negative,neut,na,fear
199,Sometimes something great and unexpected happens to turn it all around. moodbooster,other,present,positive,neut,neut,surprise
200,The fact that @KimKardashian wedding makes headlines and provides that pathetic excuse of a celebrity with more money makes me sick,other,present,negative,neut,na,disgust
201,"I feel as though I live in  because there are things I'd like to say in this  post, but losing my job. emptywords",self,present,positive,neut,neut,fear
202,"Twitter, you'll never see me run as fast again as I am from @BibiLynch right now.",other,future,positive,neut,positive,fear
203,I wonder if my new emoticon keyboard works in Twitter.  It does! Probably only visible to iPhoneiPad users tho.,self,present,positive,positive,na,sadness
204,Really wanna go see the lights on the cumberland but the weather just won't cooperate,other,present,neut,neut,neut,sadness
205,"hey @JaimelynArmy, i miss you new friend.",self,present,negative,neut,na,sadness
206,First year working Black Friday!!,other,present,positive,neut,na,joy
207,@elpea_ox you guys missed out on free shots from nick! We got them right after you left,self,past,positive,neut,neut,sadness
208,Not even worth a rejection letter.,other,na,positive,na,na,sadness
209,Its my birthday! I'm officially 14(: any shout outs? It would make me feel special.,self,present,neut,neut,neut,joy
210,perfect day to start the Christmas movies POLAR EXPRESS.,other,present,positive,neut,na,joy
211,omg my black and white cat missescoco is in my room being nice GREATDAY,other,na,positive,na,na,surprise
212,I love seeing cars with Christmas trees on top!,self,present,positive,positive,na,joy
213,"What makes you rich isn't how much money you have in your bank account, but how much you feel everyday. happiness",other,present,positive,neut,neut,joy
214,Hell week started a day early,other,past,neut,na,neut,joy
215,good morning world!,other,na,positive,na,na,joy
216,Am in the best real ale pub since the,other,na,positive,na,na,joy
217,If you've never liked Nickelback then you pretty much wasted most of your life .,other,past,positive,neut,positive,sadness
218,"@katharinemcphee This seems to be a serious conversation! He seems to be making a proposal. Lol :-) Thank you, Kat! I love you! XoXo.",self,present,positive,neut,na,fear
219,I'm exhausted but can't sleep.  I just want my nap.,self,present,negative,neut,neut,sadness
220,I love it  when I have a big smile on my face for no reason...,self,present,positive,neut,neut,joy
221,"Everyone's going to India for Christmas break, well my ass is staying right here in the U.S. NRI haha",other,present,positive,positive,positive,joy
222,is rememered Pain and Fear is projecting it into the future. Guilt comes from pain with blame. Primary pain creates depression,other,present,negative,negative,na,anger
223,is rememered  and is projecting it into the future. Guilt comes from pain with blame. Primary pain creates depression,other,present,negative,negative,negative,fear
224,"I saw the world without any borders in my  I was flying under the sun above the trees, no just love. Dreams are my reality",self,present,positive,neut,neut,fear
225,"The that was filling this building from her, from his death will linger here well after we leave. Someone will feel it one day.",self,future,positive,neut,neut,sadness
226,Oppassen op en Digo omdat @Akimbwefar een zieke collega vervangt bij @Dolfjansen en moeder @SimoneBwefar met de zus naar de Ikea is,other,na,neut,na,na,joy
227,"Wow!The Outlet Thanksgiving Dinner was MAH-JOR! LOVE seeing others honor, respect&amp;care so much!Food, friends, fun&amp;games were excellent!",other,present,positive,positive,na,joy
228,Gotta drive in the pitch black to work on the farm.,other,present,positive,neut,na,joy
229,@mallorymoore13 hun. I've known I for 12 years I think u can figure it out! Maybe a Christmas present! me,self,present,neut,neut,neut,surprise
230,2 more days of this break.. :( I don't want it to end..,other,present,neut,neut,na,sadness
231,@DanielPolj good to see you made it out of the library.,other,past,positive,neut,neut,joy
232,Great. Just noticed I have a spider bite on my face. Yay.,self,past,neut,neut,neut,joy
233,Ben zooo bang dat ik een hint eruit heb laten vallen ofzo... echt iets voor mij.,other,na,neut,na,na,surprise
234,Officially put in my two weeks notice at work!,other,past,positive,positive,neut,joy
235,Feelin a bit sad tonight,other,na,negative,na,na,surprise
236,"God, don't show me any more I don't think my heart can take it.",other,present,neut,neut,neut,sadness
237,eating a candy cane..,other,present,neut,neut,na,joy
238,@BIENduetz Wat een super leuk idee! Mag ik je idee stelen voor mijn zusje?,other,na,positive,na,na,surprise
239,Time for bed before a big day of packingmoving and yet more packing,other,na,neut,na,na,joy
240,@LadyT_14 happy early birthday girl we  youuuu more!,self,present,positive,neut,na,surprise
241,Not walkin up stairs because you're afraid to trip going up..,other,present,negative,neut,negative,fear
242,@proudbelieber16 yeah except for me its Kenny running around frantically trying to find me coz Justin is hiding coz its a :P,self,present,negative,neut,negative,surprise
243,Someone went thru our mail and tore open my mom's bday card to me! Looking for $? Our neighbor on another street brought it over.,self,past,neut,neut,neut,sadness
244,There is only one thing that makes a  impossible to achieve: the of failure.,other,present,negative,negative,na,fear
245,Oh my god ...  did an awesome play on ....love that scene.,other,past,positive,positive,positive,fear
246,just finished the last paper I'll have to write for the rest of the semester :D COPIOUS AMOUNTS OF !!!,self,past,neut,neut,neut,joy
247,Back down in giovanini for b.law &amp; the first person I make eye contact with is Coach dunnomy3to5yet alwaysbescanning FUNsight,self,present,neut,neut,na,surprise
248,"4 hour food technology exam today,",other,na,neut,na,na,joy
249,Fuck all of y'all we ignore feelings here,self,present,negative,neut,negative,fear
250,"@jay_sumiet sala naseeb karab, katrina toh nai thi par usne hame train nai kiya hume swimsuit mein dekh dekh hass rahi thi",other,na,neut,na,na,joy
251,I saw a dead Cardinal outside at lunch. I don't think it's a coincidence.,self,past,negative,neut,na,sadness
252,Don't Let That Nigga steal your.... He didn't give it To U.....,other,present,negative,neut,na,joy
253,so its that time of night where i just have this burst of energy and i wont be able to go to sleep for another hour or two. lol,self,present,neut,neut,neut,joy
254,On the way home from Chester. Zack drives like something off need for speed :(,other,present,positive,positive,neut,fear
255,Went to the new balance outlet and switched all the left shoes with right ones..that's what you get for not trying them on,other,past,positive,neut,neut,surprise
256,"@LindseyC_13 @scottycampbell1 I figured it out!! Yay me! However, Grams was totally in the dark!",self,past,negative,neut,neut,surprise
257,Today was a sad day... :( Im gonna miss you Emily..  tears,other,present,negative,neut,negative,sadness
258,"Good thing all the union station exits dtla are all being blocked by cops... Got lost, now chilling at the hobo capital of the world..",other,past,negative,neut,negative,joy
259,"D'oh RT@TBONEWFNZ: Anna Kooiman leaving @foxcharlotte   Excuse me for a second, I need to collect my thoughts.",self,present,neut,neut,na,sadness
260," of when your phone starts falling towards your face , but you save it. amazing",other,present,positive,neut,na,fear
261,"@mattfidgcoq Je suis l'un des plus grand fan de François Feldman (quand j'étais enfant, maintenant, je ne l'écoute pas tout les jours)",other,na,positive,na,na,joy
262,"“@RevRunWisdom not afraid of tomorrow, for I have seen yesterday and I love today less”",self,past,positive,na,neut,fear
263,Have to sing to old people tomorrow....,other,present,neut,neut,neut,joy
264,@mrpatulski Thanks. I am so moved by the response. But the real magic was seeing hundreds of people turn and see  GRmi,other,present,positive,neut,neut,surprise
265,"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today less” good one!",self,past,positive,positive,neut,fear
266,"Crip Walk-Off?  RT @Christinerphant ECS Preparty, I'm nervous for my digestive organs. @LoAlex2, @starallo, @jmayshar",other,na,negative,na,na,fear
267,Can't wait to see @kaylamccawley tonight! Little does she know that I'm sleeping in her bed...,self,present,neut,neut,neut,surprise
268,@FLYboi_ROB is that how the kids visiting Penn State felt? -- Damn near piss my pants kicking it wit @KyletheYeti and @fattymattychady,other,present,neut,neut,negative,fear
269,Let's get this day over so I can go home and study,self,present,neut,neut,neut,joy
270,Just letting everybody know how late I was staying up finishing this stupid bacon  + just a tad bit of sarcasm,other,present,negative,negative,neut,joy
271,Spanish is the worst class. My teacher has been out for two weeks and my peers are proletariats.,other,na,negative,na,na,sadness
272,Jamming to Pandora...trying to bring some light to my bday weekend...I really wish I was able to go home and be with my family..,self,present,neut,neut,neut,sadness
273,"Bases loaded, Lysaught gets a ground rule double and 2RBI. Collins at the plate. Sox lead 3-0 soxade",other,present,positive,neut,neut,joy
274,@Denis_Donovan lmfao no im staying in a normal hotel.. We get a tour of an amish village tmrw,self,present,neut,neut,neut,joy
275,"@megmurph14 YES seriously my dream to get one.he can choose the song me.he is more popular,cool, and hotter... whatever heartyou",other,present,positive,neut,neut,surprise
276,I love running into peoples houses and jumping on them to wake their ass up!,self,present,positive,neut,neut,surprise
277,"Cubiclenama by @sidin is what Bill Bryson is for travelogues. 3S - Sharp, skeptic and sarcastic.",other,na,negative,na,na,joy
