ID,text,direction,tense,overall_polarity,event_polarity,action_polarity,label
36,Did Viking Probes Miss Life on Mars?,other,present,neut,neut,neut,surprise
37,Diplomat acknowledges US arrogance in Iraq,other,present,negative,negative,negative,anger
38,More Human Remains Found at Ground Zero,other,na,neut,na,na,sadness
39,How to Prevent Iraq From Getting Even Worse,other,present,neut,neut,na,fear
40,Tensions as Hungary marks uprising,other,present,neut,negative,negative,fear
41,Stanford study warns of Internet addiction,other,na,neut,na,neut,fear
42,No evidence of ice reserves on the moon,other,na,neut,na,na,sadness
43,A Picture and A Thousand Words,other,na,neut,na,na,anger
44,Parachutist dies at bridge-jump festival,other,na,neut,na,negative,sadness
45,US Troops Killed In October In Iraq,other,na,neut,na,na,sadness
46,"Chefs not counting calories, study finds",other,present,neut,neut,na,sadness
47,Deaths linked to flu vaccine,other,na,neut,na,neut,sadness
48,Perfect lives lose their focus,other,present,negative,neut,negative,joy
49,Bread-Heavy Diet Linked to Kidney Cancer,other,na,neut,na,na,fear
50,Beating poverty in a small way,other,present,negative,negative,na,joy
51,Israel insists on Lebanon overflights,other,na,neut,na,neut,anger
52,Britain to restrict immigrants from new EU members,other,present,negative,neut,na,disgust
53,Confusion Reigns In the Expanding Digital World,other,na,neut,na,na,surprise
54,Game on! London exhibition celebrates the history of video games,other,present,positive,neut,positive,joy
55,Making peace from victory over poverty,other,present,positive,positive,na,joy
56,Marine killed in fighting west of Baghdad,other,present,negative,neut,negative,sadness
57,Scientists create first cloaking device,other,present,neut,neut,neut,joy
58,Amateur rocket scientists reach for space,other,na,neut,na,neut,joy
59,Confusion Reigns In the Expanding Digital World,other,na,neut,na,na,surprise
60,Deaths linked to flu vaccine,other,na,neut,na,neut,sadness
61,Israel admits using phosphorous shells in Lebanon,other,present,neut,neut,neut,sadness
62,4th person dies after receiving flu shot,other,present,neut,neut,negative,sadness
63,Police and shoppers targeted in growing Iraq violence,other,na,neut,na,neut,fear
64,Scientists discover miracle in the depths,other,present,positive,positive,positive,surprise
65,Doctors Seeing Patients Who Think They're Internet Addicted,other,na,neut,na,neut,sadness
66,China launches two satellites into orbit,other,present,neut,neut,neut,joy
67,Vegetables May Boost Brain Power in Older Adults,other,na,neut,na,na,surprise
68,Hurricane Paul nears Category 3 status,other,present,neut,neut,neut,fear
69,"Russian ship sinks, 18-member crew missing",other,na,negative,na,na,sadness
70,Iran's president urges higher birth rate,other,present,neut,neut,neut,surprise
71,Apple set for massive market gains,other,na,positive,na,positive,joy
72,Tumor Types May Explain Survival Rates for Cancer,other,na,neut,na,na,sadness
73,Routine mission turns into hunt for missing comrade,other,na,negative,na,negative,sadness
74,Bad weather slows S.Korean search for Russian ship,other,present,negative,neut,negative,sadness
75,Tailors and housewives busy as Muslims celebrate Eid,other,na,positive,na,na,joy
76,Active peace brings the promise of development,other,present,positive,positive,positive,joy
77,Abbas condemns Israeli massacre in northern Gaza Strip,other,present,negative,negative,negative,disgust
78,"Bangladesh ferry sinks, 15 dead",other,na,negative,na,neut,sadness
79,Bucs find a new kick in life,other,present,neut,neut,neut,joy
80,Google to unveil election mashup,other,present,neut,neut,na,surprise
81,Police warn of child exploitation online,other,na,negative,na,negative,disgust
82,Breast Cancer Awareness is Important,other,na,neut,na,na,fear
83,Hungary police tackle violent protestors,other,present,negative,negative,negative,sadness
84,Three drivers had reason to be proud in Brazil,other,past,positive,positive,positive,joy
85,Celebrities Protest Malibu Gas Facility,other,na,neut,na,neut,joy
86,Lebo: A life lived on the edge,other,na,neut,na,neut,anger
87,"Presto! He's Batman, then magic man",other,na,positive,na,na,surprise
88,"Heavy use of mobile phones can make men infertile, scientists say",other,present,neut,neut,neut,fear
89,Russian ship sinks in Pacific,other,na,negative,na,na,sadness
90,China Successfully Launches Two Satellites,other,na,neut,na,na,joy
91,Prestige has magic touch,other,present,positive,positive,positive,joy
92,"Lies, damned lies, and divorce",other,na,negative,na,na,sadness
93,Manning inspires Giants to victory in Dallas,other,present,positive,neut,na,joy
94,Riot warning for France suburbs,other,present,neut,negative,na,sadness
95,Full recovery expected for marathon winner,other,na,positive,na,positive,joy
96,Sony apologises for global battery recall,other,na,neut,na,neut,sadness
97,Questions on credit card safety,other,na,neut,na,na,fear
98,Budapest calm after night of violent protests,other,na,negative,na,na,anger
99,Vegetables May Boost Brain Power in Older Adults,other,na,neut,na,na,joy
100,Report criticises US press freedoms,other,present,positive,positive,positive,anger
101,French suburb riots could resume,other,na,neut,na,neut,fear
102,Photographer kidnapping condemned,other,na,negative,na,negative,disgust
103,Photographer kidnapped in Gaza,other,na,neut,na,neut,disgust
104,Baseball: Rogers enjoys his muddied streak,other,present,positive,neut,positive,joy
105,"Cultural revolutionary, the iPod is five",other,na,positive,na,na,joy
106,Life on Mars? Maybe We Missed It,self,past,neut,neut,neut,surprise
107,Three found alive from missing Russian ship -report,other,present,negative,neut,negative,joy
108,Moderate drinking reduces men's heart attack risk,other,present,negative,negative,negative,joy
109,The sweet tune of an anniversary,other,na,positive,na,na,joy
110,Inconvenient truths,other,na,neut,na,na,anger
111,Dating difficult for Harry Potter,other,na,negative,na,na,surprise
112,Students lose their rite of passage,other,present,negative,neut,negative,sadness
113,Putin vows to tackle illegal immigration,other,present,negative,negative,negative,anger
114,Ottawa must redefine 'terror',other,present,neut,negative,negative,fear
115,"Britain to Limit Workers from Romania, Bulgaria",other,na,neut,na,na,fear
116,Top General Optimistic on Iraq,other,na,neut,na,na,sadness
117,Kim Osorio Wins Sexual Harrassment Suit Against The Source,other,na,neut,na,na,joy
118,Silly and substantial,other,na,neut,na,na,joy
119,Official laughs for Borat,other,na,neut,na,neut,joy
120,Speaker Hastert testifies before panel probing sex scandal,other,present,negative,negative,negative,disgust
121,On Educating Sexes Separately,other,na,neut,na,na,anger
122,Tom Cruise and Katie Holmes set wedding date,other,past,neut,neut,neut,joy
123,Martian Life Could Have Evaded Detection by Viking Landers,other,present,neut,neut,neut,surprise
124,Ukraine gas deal marred by fears,other,na,negative,na,negative,fear
125,Marathon victory comes at heavy cost,other,na,positive,na,neut,joy
126,College tuition continues climbing,other,na,neut,na,neut,anger
127,German paper shows soldiers desecrating skull,other,present,negative,negative,negative,disgust
128,"War is close, Ethiopia tells Somali rebels",other,present,neut,neut,neut,fear
129,Advantage Cardinals with Suppan in Game 4,other,na,neut,na,na,joy
130,NASA spacecraft to measure Sun,other,present,neut,neut,neut,joy
131,"Sony Hates Europeans, Will Prevent The Importing of PS3",other,na,neut,na,na,anger
132,Flu Vaccine Appears Safe for Young Children,other,present,neut,neut,na,joy
133,Google To Launch Yet Another Search Tool,other,na,neut,na,neut,joy
134,Tropical Storm Paul's Outer Bands Hit Mexico's Baja California,other,present,neut,neut,neut,sadness
135,Israeli Bomblets Plague Lebanon,other,na,neut,na,na,fear
136,"New Indonesia Calamity, a Mud Bath, Is Man-Made",other,na,neut,na,na,anger
137,U.S. Weighs Sanctions Against North Korea,other,na,neut,na,na,anger
138,"Rice, in Baghdad, Insists That Iraqis Are ",other,na,neut,na,neut,anger
139,Senator Says U.S. Should Rethink Iraq Strategy,other,na,neut,na,neut,sadness
140,German Chief Forges Accord on Financing Health Care,other,na,neut,na,na,joy
141,Turkish Writers Say Efforts to Stifle Speech May Backfire,other,present,neut,neut,neut,anger
142,Kurdish Lawmaker Killed in an Attack in Baghdad,other,present,neut,neut,na,fear
143,Anti-U.S. Attack Videos Spread on the Internet,other,na,neut,na,na,anger
144,"Women Face Greatest Threat of Violence at Home, Study Finds",other,present,neut,neut,neut,disgust
145,Appeal by Chinese Researcher for Times May Soon Be Heard,other,na,neut,na,na,joy
146,Brazil Air Force Cites Faults and Confusion in Fatal Crash,other,na,neut,na,na,sadness
147,A Mix of Oil and Environmentalism,other,na,neut,na,na,fear
148,Immigrants and French Reach Deal in Standoff,other,na,neut,na,na,joy
149,Genghis Khan Beer? Mongolia Grimaces,other,na,neut,na,na,anger
150,Dead Bachelors in Remote China Still Find Wives,other,present,neut,neut,neut,surprise
151,"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu",other,present,neut,neut,na,anger
152,Paris Journal: Smoking No Longer Tres Chic in France,other,na,neut,na,na,joy
153,An Old Letter Casts Doubts on Iran's Goal for Uranium,other,na,neut,na,na,surprise
154,U.S. Warns North Koreans About Nuclear Test,other,na,neut,na,na,fear
155,Global Sludge Ends in Tragedy for Ivory Coast,other,na,neut,na,na,sadness
156,Equipment on Plane in Brazil Collision May Have Been Faulty,other,na,neut,na,na,sadness
157,"New Indonesia Calamity, a Mud Bath, Is Man-Made",other,na,neut,na,na,sadness
158,Iraqi Journalists Add Laws to List of Dangers,other,present,neut,neut,na,fear
159,U.N. Force Is Treading Lightly on Lebanese Soil,other,na,neut,na,na,fear
160,Cleric Said to Lose Reins Over Part of Iraqi Militia,other,na,neut,na,na,sadness
161,"Citing Spy Agencies' Study, Democrats Seek Iraq Changes",other,present,neut,neut,neut,surprise
162,Opera Canceled Over a Depiction of Muhammad,other,na,neut,na,na,sadness
163,Military Officials Add to U.S. Criticism of Iraq's Government,other,na,neut,na,na,joy
164,Teacher in Hiding After Attack on Islam Stirs Threats,other,na,neut,na,na,fear
165,Combative Bush Releases Parts of Terror Study,other,present,neut,neut,na,fear
166,Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out,other,present,neut,neut,neut,fear
167,"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says",other,present,neut,neut,neut,fear
168,"Seduced by Snacks? No, Not You",other,na,neut,na,na,disgust
169,Friends for Life: An Emerging Biology of Emotional Healing,other,na,neut,na,na,joy
170,"Alzheimer's Drugs Offer No Help, Study Finds",other,present,neut,neut,neut,sadness
171,"Across Europe, Worries on Islam Spread to Center",other,na,neut,na,na,sadness
172,Cooking Defines Sephardic Jews at Sukkot,other,present,neut,neut,na,joy
173,"Fitness: Bodies in Motion, Clean and Sober",other,na,neut,na,na,joy
174,In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books,other,na,neut,na,na,joy
175,"Yankee Dies in Plane Crash, Official Says",other,na,neut,na,neut,sadness
176,An Elephant Crackup?,other,na,neut,na,na,sadness
177,"With YouTube, Grad Student Hits Jackpot Again",other,present,neut,neut,na,joy
178,Dow flirts with record highs again,other,na,negative,na,negative,joy
179,Tropical Storm Isaac forms in Atlantic,other,na,neut,na,na,fear
180,New Iraq terror tape calls for abducting foreigners,other,na,negative,na,na,fear
181,'Deep regret' for ex-HP exec,other,na,negative,na,na,sadness
182,'Opportunity' knocks on geologist's dream crater,other,na,negative,na,negative,joy
183,Squirrel jumps boy in park; rabies suspected,other,present,negative,neut,neut,surprise
184,Girl left comatose after dental visit dies,other,na,neut,na,negative,sadness
185,Porn star candidate campaigns on campus,other,na,neut,na,na,disgust
186,School ends football season after 0-4 start,other,present,neut,neut,neut,sadness
187,Charlie Sheen to become highest-paid sitcom star,other,na,neut,na,neut,joy
188,Jon Stewart mocks benefits of CNN's I,other,present,positive,positive,positive,surprise
189,Ashton Kutcher tells secret to Ryan Seacrest,other,na,neut,na,neut,surprise
190,Nails-on-chalkboard study earns Ig,other,present,neut,neut,neut,disgust
191,Gunman 'fine' before shooting,other,na,neut,na,na,sadness
192,Marijuana may stave off Alzheimer's,other,na,neut,na,neut,surprise
193,Kentucky seeks alcohol huffing ban,other,present,neut,neut,neut,joy
194,Toddler died from tainted spinach,other,na,negative,na,negative,sadness
195,Judge dismisses Karr's porn case,other,na,neut,na,na,surprise
196,10 die in 22-hour Kashmir standoff,other,na,negative,na,na,fear
197,Slain Amish girls laid to rest,other,na,neut,na,neut,sadness
198,"5,000 flee plant fire",other,present,negative,neut,na,fear
199,Cher auction fetches double pre-sale estimates,other,present,neut,neut,neut,joy
200,Stars scuffle on 'Grey's Anatomy',other,na,neut,na,na,disgust
201,Probe under way in Yankee crash,other,na,negative,na,na,sadness
202,Amish schoolhouse torn down,other,na,neut,na,neut,sadness
203,Warner will not run in '08,other,na,neut,na,neut,sadness
204,Reid land deal under scrutiny,other,na,neut,na,na,surprise
205,"Flooding washes out road to Valdez, Alaska",other,present,neut,neut,na,sadness
206,Briton admits U.S. bomb plot role,other,present,negative,negative,negative,sadness
207,Commentary: Minutemen have a right to be idiotic,other,present,positive,positive,positive,anger
208,Madonna files adoption papers,other,present,neut,neut,neut,joy
209,Gunmen kill 9 at Iraqi TV station,other,present,negative,neut,negative,fear
210,Hastert sorry for scandal but not quitting,other,na,negative,na,na,sadness
211,Ex-JonBenet suspect: Child porn case dropped ,other,na,negative,na,neut,anger
212,"Waste plant fire forces 5,000 to evacuate ",other,na,neut,na,na,sadness
213,Toddler died from E. coli tainted spinach ,other,na,negative,na,negative,sadness
214,Disturbing finds in child sex raids ,other,na,neut,na,neut,disgust
215,Magazine lists women who had abortions ,other,present,neut,neut,neut,anger
216,"Pot smokers may avoid Alzheimer's, study says ",other,present,neut,neut,neut,surprise
217,Student starts white men's club on campus ,other,present,neut,neut,neut,sadness
218,Kentucky wants to ban alcohol inhalers ,other,present,neut,neut,neut,surprise
219,Peter Pan flies into chapter two ,other,na,neut,na,neut,surprise
220,Teen repellent inventor wins infamous prize ,other,present,positive,positive,positive,joy
221,"Cher's dress, car, bed have new owners",other,present,neut,neut,neut,joy
222,"Dow hits new record, eyes 12,000 ",other,na,neut,na,na,joy
223,Ex-Virginia gov not running for president ,other,na,neut,na,na,surprise
224,Yankee pitcher's pilot log found ,other,na,neut,na,neut,surprise
225,Dem leader's $1 million land deal under scrutiny ,other,present,neut,neut,na,anger
226,"Dad locked up son, watched on TV, police say ",other,past,neut,neut,neut,sadness
227,Navarrette: Minutemen have a right to be idiotic ,other,present,positive,positive,positive,sadness
228,"Pit bulls jump miniature pony, leave her bloody ",other,present,negative,neut,neut,sadness
229,Alaska town cut off from rest of state by flood ,other,na,neut,na,neut,fear
230,Trailblazing trio protects City by the Bay ,other,present,neut,neut,positive,joy
231,Madonna files adoption papers in Malawi,other,present,neut,neut,neut,joy
232,'Dr. McDreamy' choked in 'Grey's' scuffle ,other,na,negative,na,na,sadness
233,"$10,000 poetry prize awarded ",other,na,positive,na,positive,joy
234,Las Vegas honour for tiger pair ,other,na,neut,na,na,joy
235,UK characters boosting box office ,other,present,positive,neut,positive,joy
236,Cher items snapped up at auction ,other,na,neut,na,neut,joy
237,Griffiths scorns Withnail 'play' ,other,na,negative,na,na,disgust
238,Lily Allen wins web music award ,other,present,positive,positive,positive,joy
239,Costner appeals in casino wrangle,other,na,positive,na,na,anger
240,Beyonce copyright claim rejected ,other,na,negative,na,negative,anger
241,Cohn gunman jailed for 36 years ,other,na,neut,na,neut,joy
242,Melua's deep sea gig sets record ,other,present,neut,neut,neut,joy
243,Sri Lanka clashes kill 129 troops ,other,present,negative,neut,negative,sadness
244,Gunmen kill 11 in Iraq TV raid ,other,present,negative,neut,negative,sadness
245,Italy drops Sicily bridge plans ,other,present,neut,neut,neut,surprise
246,Amish killings school demolished ,other,na,negative,na,na,sadness
247,Pamuk wins Nobel Literature prize,other,na,positive,na,na,joy
248,Madonna adoption bid approved ,other,na,positive,na,positive,joy
249,Man admits UK-US terror bomb plot,other,na,negative,na,neut,fear
250,Who are you calling fat?,other,present,negative,neut,negative,disgust
251,Test to predict breast cancer relapse is approved,other,present,negative,negative,na,joy
252,"Two Hussein allies are hanged, Iraqi official says",other,past,negative,neut,na,sadness
253,Sights and sounds from CES,other,na,neut,na,na,joy
254,Schuey sees Ferrari unveil new car,other,na,neut,na,neut,joy
255,Closings and cancellations top advice on flu outbreak,other,na,positive,na,na,fear
256,Trucks swallowed in subway collapse,other,na,negative,na,negative,sadness
257,Sarkozy letter surprises French cartoons hearing,other,na,neut,na,na,surprise
258,"Building a memorial to a son, one child at a time",other,present,neut,neut,na,sadness
259,Lawmaker seeks iPod ban in crosswalks in New York,other,present,neut,neut,neut,surprise
260,Diabetic waits months for eyeglasses,other,present,neut,neut,neut,sadness
261,Sudan tells United Nations envoy to leave in 72 hours,other,present,neut,neut,neut,surprise
262,5000 years on but couple still hugging,other,na,positive,na,na,surprise
263,Defense to challenge Russert's credibility,other,present,neut,neut,na,surprise
264,"Ozzy, a Hero for the hard-rocking masses",other,na,neut,na,na,joy
265,CIA leak trial summary,other,present,negative,neut,negative,surprise
266,Dance movie takes over No. 1,other,na,neut,na,neut,joy
267,Asian nations urge Myanmar reform,other,present,positive,positive,positive,surprise
268,"After Iraq trip, Clinton proposes war limits",other,present,negative,negative,negative,joy
269,7 dead in apartment building fire,other,na,negative,na,na,sadness
270,Male sweat boosts women's hormone levels,other,present,positive,neut,positive,surprise
271,Carphone Warehouse's mixed signals,other,present,neut,neut,na,surprise
272,Democrats plot Bush troop increase censure,other,na,negative,na,na,surprise
273,Cisco sues Apple over iPhone name,other,present,negative,neut,negative,anger
274,BB star Jackson denies Goody comments,other,present,negative,neut,negative,disgust
275,Inter Milan set Serie A win record,other,present,positive,neut,positive,joy
276,US Airways boosts bid for Delta,other,present,positive,neut,positive,surprise
277,Press sees hope in Mecca talks,other,present,neut,neut,neut,joy
278,Bears fan loses bet and changes name,other,present,negative,neut,negative,surprise
279,Global National	Major child porn ring bust,other,na,negative,na,na,disgust
280,'Human hair' clue in hunt for airliner,other,na,neut,na,na,surprise
281,Johnny Depp to make movie of spy poisoning,other,present,neut,neut,neut,joy
282,Really?: The claim: the pill can make you put on weight,other,present,neut,neut,neut,surprise
283,5 money makeovers,other,na,neut,na,neut,joy
284,TBS to pay $2M fine for ad campaign bomb scare,other,present,negative,negative,na,fear
285,"""Stomp the Yard"" has winning moves in its weekend debut",other,present,positive,positive,positive,joy
286,"Discovered boys bring shock, joy",other,present,positive,negative,negative,surprise
287,Bernhard set to leave Volkswagen,other,present,neut,neut,neut,sadness
288,Pacers' Jackson misses gun hearing,other,present,negative,neut,negative,fear
289,Cases: when the simple solution is the right one,other,na,positive,na,na,joy
290,Two Muslim groups sue French newspaper International,other,na,negative,na,na,anger
291,Golden Globes on their way,other,na,neut,na,na,joy
292,"At New OZZFEST, Freedom Ain't Free",other,na,neut,na,neut,surprise
293,Federer handed tough Aussie draw,other,past,positive,positive,positive,sadness
294,Protesters end strike as Nepal PM concedes demands,other,present,negative,neut,negative,joy
295,"Turner pays for Boston ""bombing""",other,na,neut,na,neut,fear
296,Two detained in body parts mailing,other,na,neut,na,na,disgust
297,Essay: about that mean streak of yours: psychiatry can do only so much,other,na,neut,na,neut,sadness
298,Hussein's niece pleads for father's life,other,na,neut,na,neut,sadness
299,Sarkozy heads for clash in cartoons row,other,na,negative,na,neut,anger
300,Global web of suspects in child-rape download,other,na,negative,na,na,anger
301,Blake defeats Moya to retain title,other,present,positive,neut,positive,joy
302,"Storms kill, knock out power, cancel flights",other,present,negative,neut,na,fear
303,Aquarium puts ailing beluga whale to sleep,other,present,negative,negative,negative,sadness
304,"Microsoft, Sony, we have a problem",self,present,negative,negative,negative,surprise
305,A police state? The issues,other,na,negative,na,negative,fear
306,Move to ban iPods from crossing the street,other,present,neut,neut,na,surprise
307,India's Taj Mahal gets facelift,other,present,neut,neut,neut,joy
308,Cheney to Congress: Can't run Iraq war by committee,other,present,neut,neut,neut,anger
309,Ganguly handed India squad call-up,other,na,neut,na,neut,joy
310,Fortune: Looking beyond the iPhone,other,na,neut,na,na,joy
311,Really?: The claim: the back seat of a car is the safest place to sit,other,na,positive,na,na,surprise
312,Vaccine mandate upsets legislators,other,na,negative,na,na,anger
313,News analysis: Iranian boast is put to test,other,na,neut,na,na,fear
314,Panel issues bleak report on climate change,other,na,negative,na,na,fear
315,Virtual 'American Idol' hits right notes,other,present,positive,positive,positive,joy
316,"Iraq car bombings kill 22 People, wound more than 60",other,present,negative,neut,negative,sadness
317,'Stomp' steps to No. 1 at box office,other,na,neut,na,na,joy
318,Google executive acts as goodwill envoy,other,na,positive,na,na,joy
319,Filipino woman kidnapped in Nigeria,other,na,neut,na,neut,fear
320,"Seahawks, Bears vie for shot at NFL title",other,na,neut,na,neut,joy
321,Brown not buried as estate issues loom,other,na,negative,na,na,sadness
322,Will Rob Cohen Direct Third 'Mummy'?,other,na,neut,na,neut,surprise
323,EU will urge China to go green,other,present,neut,neut,neut,joy
324,17th-Century Remedy; 21st-Century Potency,other,na,neut,na,na,surprise
325,Forecasters expect toasty 2007,other,present,neut,neut,neut,fear
326,'Sunshine' Goydos wins Sony open,other,na,positive,na,positive,joy
327,Teacher charged with sex assault,other,na,negative,na,negative,disgust
328,Merck: Gardasil may fight more strains,other,present,negative,negative,negative,joy
329,"Mountain glaciers melting faster, United Nations says",other,na,positive,na,positive,fear
330,Snow causes airport closures in Britain,other,present,neut,neut,neut,sadness
331,Bananaconda inventor is top poet of kids,other,na,positive,na,na,joy
332,Shareholders sue Apple,other,na,negative,na,na,anger
333,Israelis retaliate after attack by Lebanese Army,other,na,negative,na,negative,fear
334,Deadly bird flu confirmed in British Turkeys,other,na,neut,na,neut,fear
335,Too little sleep may mean too fat kids,other,present,negative,negative,negative,surprise
336,Bathing mom awakes to find baby dead,other,present,negative,neut,na,sadness
337,Visitors to Eiffel Tower climb to record in 2006,other,na,neut,na,na,joy
338,"More sleep, healthier slimmer children ",other,na,positive,na,na,surprise
339,Queen battles Bond for Baftas,other,present,neut,neut,neut,joy
340,"Walters on Trump: 'Poor, pathetic man'",other,past,negative,negative,na,sadness
341,"Ice storm smacks roads, power",other,na,negative,na,na,fear
342,Iran says it will strike US interests if Attacked,other,present,negative,neut,negative,fear
343,Palestinian factions to resume talks,other,present,neut,neut,na,joy
344,Study: men's sweat triggers high sexual arousal in women,other,present,neut,neut,neut,surprise
345,Outcry at N Korea 'nuclear test',other,na,neut,na,na,fear
346,Russia plans major military build-up,other,present,neut,neut,neut,fear
347,Archaeologists find remains of couple locked in a hug,other,present,positive,positive,positive,surprise
348,Stenson defends his title at Dubai,other,present,neut,neut,neut,joy
349,Taking the plunge,other,present,neut,neut,na,fear
350,Updates on world's top stories,other,na,positive,na,na,joy
351,Man rides stationary bike for 85 hours,other,na,neut,na,na,surprise
352,Ice storm coating Midwest,other,na,neut,na,na,fear
353,A Mistrial for Lieut. Watada,other,na,neut,na,na,anger
354,Iran warns will hit back at US if attacked,other,na,negative,na,negative,fear
355,ASEAN talks end on energy-security,other,na,neut,na,na,joy
356,"Iraqi death toll exceeded 34,000 in 2006, United Nations says",other,past,negative,neut,positive,sadness
357,Israel intensifies military flights over Lebanon,other,present,neut,neut,neut,fear
358,New gadgets galore at tech show,other,na,positive,na,positive,joy
359,Another death at Georgia Aquarium,other,na,negative,na,na,sadness
360,US to urge Nato Afghan spring offensive,other,na,negative,na,na,fear
361,UK letter bombs may be from extremist drivers,other,na,negative,na,na,fear
362,Asia seeks breakthrough on North Korea,other,present,positive,positive,positive,surprise
363,Federer overcomes a ragged start,other,present,negative,negative,negative,joy
364,Rowdy fans ejected from the Open,other,na,neut,na,neut,anger
365,Terai protesters hail 'historic' victory over government,other,na,positive,na,na,joy
366,Anger at release of two held over beheading plot,other,na,negative,na,na,anger
367,Bush adamant on troops to Iraq,other,na,negative,na,na,anger
368,Bebe Neuwirth gets to 'wiggle again',other,na,neut,na,neut,joy
369,Beckham to L.A.: For the game not fame,other,na,positive,na,na,joy
370,Sleep more to fight childhood obesity,other,present,neut,neut,na,surprise
371,Abbas rejects temporary state,other,present,negative,neut,negative,sadness
372,Investigation of child porn site hits 77 nations,other,present,neut,neut,neut,disgust
373,Sleuths close in on Odysseus home,other,na,neut,na,na,surprise
374,Variety: Johnny Depp to make movie of spy poisoning,other,present,neut,neut,na,surprise
375,Ice storm cripples central U.S.,other,na,negative,na,na,fear
376,Park stars as United maintain lead,other,present,positive,positive,positive,joy
377,Prehistoric Romeo and Juliet discovered,other,na,neut,na,neut,surprise
378,India's famous landmark gets facelift,other,present,positive,neut,neut,joy
379,Joseph Wambaugh's new start,other,na,neut,na,na,joy
380,Participant in water-drinking contest dies,other,na,neut,na,negative,sadness
381,Apple drops bombshell with iPhone,other,present,neut,neut,neut,surprise
382,Bollywood's 'Brangelina' engaged,other,na,neut,na,neut,joy
383,"Shiite fighters arrested in crackdown, Iraq says",other,na,neut,na,neut,fear
384,"Rio De Janeiro journal: drawing lines across the sand, between classes",other,na,neut,na,na,sadness
385,Models' health guidelines -- will they help?,other,na,neut,na,neut,surprise
386,Stepping back in time at ski resort,other,na,neut,na,na,joy
387,Test cricketer jailed over killing,other,present,negative,negative,na,sadness
388,Walnuts 'combat unhealthy fats',other,present,negative,negative,na,joy
389,Apple to Vista upgraders: 'Wait',other,present,neut,neut,neut,surprise
390,Injured Sarwan to miss one-dayers,other,present,negative,neut,negative,sadness
391,Firms on alert for letter bombs,other,na,negative,na,na,fear
392,Studios sign off on movie downloads,other,na,neut,na,na,surprise
393,Asif returns with four-wicket haul,other,na,neut,na,na,joy
394,"Bush authorized Iranians' arrest in Iraq, Rice says",other,na,neut,na,neut,anger
395,Porn ring scandal reaches Australia,other,present,negative,neut,neut,disgust
396,Deputy health minister arrested in US-Iraqi raid,other,na,neut,na,neut,sadness
397,Senator Carl Krueger thinks iPods can kill you,other,present,negative,neut,negative,surprise
398,"Finally, Senate okays anti-terror bill Manila",other,present,neut,neut,neut,joy
399,Somalia declares state of emergency,other,present,negative,negative,negative,fear
